id,schedule_id,order_id,game_id
1,1,1,1
2,1,2,2
3,1,3,3
4,1,4,4
5,1,5,5
6,1,6,6
7,1,7,12
8,1,8,13
9,1,9,14
10,1,10,15
11,1,11,20
12,1,12,21
13,1,13,24
14,2,1,1
15,2,2,2
16,2,3,3
17,2,4,4
18,2,5,9
19,2,6,10
20,2,7,11
21,2,8,12
22,2,9,17
23,2,10,18
24,2,11,21
25,3,1,1
26,3,2,2
27,3,3,3
28,3,4,4
29,3,5,9
30,3,6,10
31,3,7,11
32,3,8,12
33,3,9,17
34,3,10,18
35,3,11,21
36,4,1,1
37,4,2,4
38,4,3,5
39,4,4,6
40,4,5,7
41,4,6,12
42,4,7,13
43,4,8,16
44,5,1,1
45,5,2,2
46,5,3,3
47,5,4,4
48,5,5,5
49,6,1,3
50,7,1,39
51,8,1,27
52,9,1,24
53,10,1,24
54,11,1,19
55,12,1,1
56,12,2,4
57,12,3,7
