id,schedule_id,order_id,game_id
1,1,1,7
2,1,2,8
3,1,3,9
4,1,4,10
5,1,5,11
6,1,6,16
7,1,7,17
8,1,8,18
9,1,9,19
10,1,10,22
11,1,11,23
12,1,12,25
13,2,1,5
14,2,2,6
15,2,3,7
16,2,4,8
17,2,5,13
18,2,6,14
19,2,7,15
20,2,8,16
21,2,9,19
22,2,10,20
23,2,11,22
24,3,1,5
25,3,2,6
26,3,3,7
27,3,4,8
28,3,5,13
29,3,6,14
30,3,7,15
31,3,8,16
32,3,9,19
33,3,10,20
34,3,11,22
35,4,1,2
36,4,2,3
37,4,3,8
38,4,4,9
39,4,5,10
40,4,6,11
41,4,7,14
42,4,8,15
43,4,9,17
44,5,1,1
45,5,2,2
46,5,3,3
47,5,4,4
48,5,5,5
49,5,6,6
50,6,1,38
51,7,1,26
52,8,1,23
53,9,1,23
54,10,1,18
55,11,1,2
56,11,2,5
57,11,3,8
