id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_reire
1,33,22,,8,,,
2,27,16,,12,,,
3,40,2,15,,,,
4,18,7,16,,,,
5,12,28,,19,,,
6,35,44,20,,,,
7,10,25,,23,,,
8,43,,24,,,,
9,4,38,,24,,,
10,19,9,25,,,,
11,5,37,,25,,,
12,15,,26,,,,
13,14,29,,26,,,
14,24,17,27,,,,
15,,31,,27,,,
16,,30,,28,,,
17,36,39,28,,,,
18,23,3,,29,,,
19,20,,29,,,,
20,,13,,30,,,
21,41,8,30,,,,
22,32,1,,31,,,
23,21,,31,,,,
24,,,32,,,,
25,,,,32,,,
26,,,33,,,,
27,,,,33,,,
28,,,,34,,,
29,,,34,,,,
30,,,,35,,,
31,,,35,,,,
32,,,36,,,,
33,,,,36,,,
34,,,,37,,,
35,,,37,,,,
36,,,39,,,,
37,,,,39,,,
38,,,,,,,
39,,,,,,,
